"Antiek Blond";"Blonde";"8";"Brasserie Deca"
"Antiek Bruin";"Brune";"8";"Brasserie Deca"
"Antiek Super 5 Blond";"Blonde";"5";"Brasserie Deca"
"Antwerps Blond";"Blonde";"5";"Huisbrouwerij 't Pakhuis"
"Antwerps Bruin";"Brune";"5,8";"Huisbrouwerij 't Pakhuis"
"Applebocq";"Fruitée";"3,1";"Brasserie du Bocq"
"Arabière";"Blonde";"8";"De Dolle Brouwers"
"Archiduc";;"6,2";"Brasserie d'Écaussinnes"
"Ardenne Saison";"Blonde, Saison";"5,5";"Brasserie de Bastogne"
"Ardenne Stout";"Stout";"8";"Brasserie de Bastogne"
"A Ré";"Blonde";"6,5";"Brasserie Grain d'Orge"
"Arend Blond";"Blonde";"6,5";"Brasserie De Ryck"
"Arend Dubbel";"brune";"6,5";"Brasserie De Ryck"
"Arend Tripel";"Blonde dorée";"8";"Brasserie De Ryck"
"Arend Winter";"Ambrée";"6,3";"Brasserie De Ryck"
"Arendonker Bruin";"Brune";"8,5";"Dorpsbrouwerije Humulus"
"Arendonker Tripel";"Blonde dorée";"8";"Dorpsbrouwerije Humulus"
"Armand’4 Herfst";"Vieille Gueuze";"6";"Brasserie Drie Fonteinen"
"Armand’4 Lente";"Vieille Gueuze";"6";"Brasserie Drie Fonteinen"
"Armand’4 Winter";"Vieille Gueuze";"6";"Brasserie Drie Fonteinen"
"Armand’4 Zomer";"Vieille Gueuze";"6";"Brasserie Drie Fonteinen"
"Artevelde";"Spéciale";"5,7";"Brasserie Huyghe"
"Artevelde Grand Cru";"Rouge-brune";"7,2";"Brasserie Huyghe"
"Asterie";"Blanche";"4,9";"Brasserie d'Écaussinnes"
"Atomium Premier Grand Cru";"Ambrée";"8";"Brasserie Van Steenberge"
"Aubel Double";"Brune";"6";"Brasserie Grain d'Orge"
"Aubel Triple";"Triple";"9";"Brasserie Grain d'Orge"
"Augrenelle";"Blonde, Bière de table";"2,5";"Brasserie Augrenoise"
"Augrenette";"Blonde";"4,5";"Brasserie Augrenoise"
"Augrenoise";"Blonde";"6,5";"Brasserie Augrenoise"
"Augrenoise Blonde de Noël";"Blonde, Bière de Noël";"10";"Brasserie Augrenoise"
"Augustijn Blond";"Abbaye";"7,5";"Brasserie Van Steenberge"
"Augustijn Donker";"Abbaye";"7";"Brasserie Van Steenberge"
"Augustijn Grand Cru";"Abbaye, Triple";"9";"Brasserie Van Steenberge"
"L'Aurore de la Salme";"Brune";;"Brasserie de l'Abbaye du Val-Dieu"
"Authentique 621";"Brune";"7,5";"Authentique Brasserie"
"Authentique Ambrée";"Ambrée";"5";"Authentique Brasserie"
"Authentique Blonde";"Blonde";"6,5";"Authentique Brasserie"
"Authentique Blonde de Noël";"Bière de Noël";"9";"Authentique Brasserie"
"Authentique Triple";"Triple";"9,5";"Authentique Brasserie"
"L'Autruche";"Blonde";"7";"Brasserie de Silenrieux"
"Averbode";"Blonde, Fermentation haute";"7,5";"Brasserie Huyghe"
"BAB 401";"Brune";"8";"Brasserie Strubbe"
"Bacchus";"Vieille brune";"4,5";"Brasserie Van Honsebrouck"
"Bacchus Frambozenbière";"Fruitée";"5";"Brasserie Van Honsebrouck"
"Bacchus Kriekenbière";"Fruitée";"5,8";"Brasserie Van Honsebrouck"
"Balthazar";"Bière de Noël";"8,9";"Brasserie Alvinne"
"Barbãr";"Blonde, Bière au miel";"8";"Brasserie Lefebvre"
"Barbãr Winter Bok";"Bock, Bière au miel";"8";"Brasserie Lefebvre"
"Barbe d'Or (Goudbaard)";"Blonde";"7,5";"Brasserie Verhaeghe"
"Barbe Noire (Zwartbaard)";"Stout";"9";"Brasserie Verhaeghe"
"Barbe Rouge (Roodbaard)";"Ambrée";"8";"Brasserie Verhaeghe"
"La Barbiot Ambrée";"Fermentation haute";"9,5";"Brasserie la Barbiot"
"La Barbiot Blonde";"Fermentation haute";"8";"Brasserie la Barbiot"
"Bas";"Blonde dorée";"6,5";"De Proefbrouwerij pour Bas-bieren"
"Basèque";"Blonde";"5,5";"Brasserie des Carrières"
"Basilius";"Ambrée";"7";"De Proefbrouwerij pour ’t Brugs bierinstituut"
"Bastogne Pale Ale";"IPA";"6,5";"Brasserie de Bastogne"
"Bavaro";"Blonde, Fermentation basse";"3,6";"Brasserie Haacht"
"Bavik Blond";"Bière de table";"1,5";"Brasserie De Brabandere"
"Bavik Faro";"Bière de table";"1,5";"Brasserie De Brabandere"
"Bavik Pony-Stout";"Stout";"5,2";"Brasserie De Brabandere"
"Bavik Premium Pils";"Pils";"5,2";"Brasserie De Brabandere"
"Bavik Triple Bock";"Bock";"3";"Brasserie De Brabandere"
"Bêchette";"Fruitée";"7,5";"Brasserie Grain d'Orge"
"Beer for Life";"Blonde";"6,5";"Brasserie Dilewyns"
"Beernems Berenbière";"Blonde";"7,5";"Brasserie Van Steenberge pour BIVO Drinks"
"Beersel Bio";"Blonde";"7";"Gueuzestekerij 3 Fonteinen"
"Beersel Blond";"Blonde";"7";"Gueuzestekerij 3 Fonteinen"
"Beersel Lager";"Pils";"5,2";"Gueuzestekerij 3 Fonteinen"
"Bel Pils";"Pils";"5";"Brasserie Duvel Moortgat"
"Belgian Angel Stout";"Stout";"5,2";"Brasserie Brootcoorens"
"Belgian Framboises";"Fruitée";"3,5";"Brasserie Lefebvre"
"Belgian Kriek";"Fruitée";"3,5";"Brasserie Lefebvre"
"Belgian Pêches";"Fruitée";"3,5";"Brasserie Lefebvre"
"Belgica IPA";;"7,9";"Brasserie Strubbe"
"Belgoo Arboo";"Triple, Ambrée";"8,1";"Brasserie La Binchoise pour la Brasserie Belgoobeer"
"Belgoo Magus";"Blonde";"6,6";"Brasserie La Binchoise pour la Brasserie Belgoobeer"
"Belgoo Maxus";"Blonde dorée";"8,1";"Brasserie La Binchoise pour la Brasserie Belgoobeer"
